Starost,Pol,Ukupno,Kardiovaskularni,Tumori,Respiratorni,Digestivni,Endokrini,Eksterni,Nedefinisani,Ostali
<1 god.,Muškarci,0.897232537,0.031103834,0.00202955,0.05608023,0.009446773,0.00497744,0.008766304,0.092846983,0.690421128
1-4,Muškarci,0.085930665,0.006638221,0.009660278,0.005551705,-0.000861028,-0.002226164,0.037874852,0.021307312,0.008663268
5-9,Muškarci,0.071471486,0.008953463,0.011877449,0.004240683,-0.000234693,0.001059278,0.038233412,0.004690699,0.003283711
10-14,Muškarci,0.063450758,0.003770142,0.009899989,0.000832208,0.000533342,-0.000601721,0.042825117,0.005410951,0.001558772
15-19,Muškarci,0.184273466,0.01122687,0.012216328,0.002008473,0.002512942,0.000500743,0.151168081,0.010290383,-0.002873311
20-24,Muškarci,0.247306752,0.012619035,0.007284106,0.000787377,0.002819313,0.000167494,0.208536479,0.010732729,0.008260361
25-29,Muškarci,0.215036214,0.015200292,0.00961868,-0.000181449,0.001823818,0.005815478,0.170397669,0.010407377,0.005234753
30-34,Muškarci,0.200907795,0.02164901,0.018034724,0.001898358,0.006361252,0.008103728,0.131504275,0.008049136,0.007861071
35-39,Muškarci,0.218518252,0.048812221,0.024243234,-0.002279967,0.013793312,0.005602958,0.116166568,0.007211987,0.00711763
40-44,Muškarci,0.228521852,0.059599769,0.045268609,-0.005093372,0.018411016,0.00274196,0.079551337,0.012664623,0.016766836
45-49,Muškarci,0.286796166,0.102290134,0.057261005,-0.001796305,0.019546741,-0.001835472,0.067308667,0.021621038,0.023256354
50-54,Muškarci,0.279416161,0.118240972,0.054726515,-0.00081148,0.014419827,0.000573492,0.054407225,0.024972172,0.013259678
55-59,Muškarci,0.236159567,0.151432453,0.013053798,0.005807302,0.014091928,-0.003571521,0.030197714,0.017680905,0.007123657
60-64,Muškarci,0.234638709,0.186818609,-0.019296816,0.010771667,0.011608882,-0.003460627,0.025817476,0.015233638,0.006406986
65-69,Muškarci,0.260266936,0.245372949,-0.04493588,0.014894268,0.012622069,-0.002552395,0.020991485,0.012735356,0.000145064
70-74,Muškarci,0.295302812,0.294564272,-0.049743523,0.017973326,0.005279266,-0.001288895,0.017929612,0.021551807,-0.012006095
75-79,Muškarci,0.32342641,0.325843179,-0.039007079,0.023135423,0.000943474,-0.009825438,0.00930333,0.030353999,-0.018208334
80-84,Muškarci,0.15078034,0.171717104,-0.026192829,0.008430571,-0.003757442,-0.006754542,0.002488211,0.022966007,-0.018594005
85+,Muškarci,0.065205687,0.091329106,-0.021220867,0.000846497,-0.00456609,-0.008125251,0.000605635,0.030217319,-0.02417239
<1 god.,Žene,0.742460609,0.033069,0.000947519,0.062812077,0.00708083,0.006618983,0.008905508,0.077669291,0.54502064
1-4,Žene,0.058852053,0.006927709,-0.002636485,0.001423745,0.005279551,0.001313537,0.023906647,0.01319657,0.009529346
5-9,Žene,0.066397251,0.00600122,0.012187163,0.003588872,0.001933152,0.000710149,0.032398857,0.003317739,0.006324681
10-14,Žene,0.040787765,0.007019964,0.003261546,-0.000298112,0.001667853,-0.002805118,0.025148286,0.002828338,0.004018829
15-19,Žene,0.057840608,0.00322177,0.007603987,0.0034643,0.000760277,-0.00061234,0.034172242,0.000922608,0.008388945
20-24,Žene,0.057641401,0.007272457,0.000880639,0.001809712,0.000843325,0.004248155,0.030858599,0.005824699,0.006008059
25-29,Žene,0.065009024,0.011359009,0.005616861,-0.001168496,0.000876988,0.004415943,0.029769575,0.003359002,0.010849414
30-34,Žene,0.072956414,0.021741738,0.014512398,-0.000774316,0.000349573,0.004287377,0.026826087,0.00329194,0.002767513
35-39,Žene,0.088576888,0.030355268,0.036613737,-0.002592314,0.003869335,0.000181452,0.020686158,0.004196668,-0.004724688
40-44,Žene,0.124810315,0.045570991,0.049467857,-0.004339183,0.003526383,0.001729642,0.017623596,0.007641091,0.003552674
45-49,Žene,0.127457071,0.072380615,0.023916921,-0.001885055,0.00494044,0.002454096,0.015882766,0.01159706,-0.001877904
50-54,Žene,0.137544766,0.107733424,-0.01114538,-0.005092914,0.007369014,0.000135446,0.023697652,0.0126077,0.002153466
55-59,Žene,0.144210938,0.161285128,-0.047195831,-0.012846366,0.009319116,0.007612051,0.020000186,0.012149114,-0.006236853
60-64,Žene,0.202062218,0.228493407,-0.067428242,-0.007209567,0.007576568,0.017775763,0.016214749,0.007962336,-0.001503295
65-69,Žene,0.382488539,0.371681724,-0.047030684,-0.002085023,0.008865164,0.018898643,0.018401316,0.026247561,-0.012649634
70-74,Žene,0.449688266,0.456760738,-0.044884997,0.009830029,3.26212E-05,0.014946102,0.009692635,0.027107202,-0.023933315
75-79,Žene,0.446275832,0.465140997,-0.026114636,0.014670647,-0.00433885,-0.005622185,0.010020932,0.034714274,-0.042218788
80-84,Žene,0.221889585,0.251935486,-0.015185537,0.007300216,-0.007447396,-0.009348563,0.001295761,0.031351387,-0.037949352
85+,Žene,0.076825115,0.102741616,-0.009851442,0.004003067,-0.007581929,-0.009001697,0.000134095,0.03361425,-0.037094726
